Block Name,Point ID,cauchy_strain_0,cauchy_strain_1,cauchy_strain_2,cauchy_strain_3,cauchy_stress_0,cauchy_stress_1,cauchy_stress_2,cauchy_stress_3,displacement_0,displacement_1,displacement_2,displacement_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,stress_xy
step02_gravity_refstate-mantle.xmf,0,3.7961e-06,1.53887e-06,0,-3.85975e-10,-1.74523e+09,-1.74553e+09,-1.74574e+09,-51.5856,0.0242608,1.47425e-19,0,0.0242608,-33334.3,-60000,-0,68638,51.5856
step02_gravity_refstate-mantle.xmf,1,3.93659e-06,1.57465e-06,0,-2.99554e-10,-1.7452e+09,-1.74551e+09,-1.74572e+09,-40.0354,0.0319724,7.10504e-19,0,0.0319724,-31323.8,-60000,-0,67684.4,40.0354
step02_gravity_refstate-mantle.xmf,2,3.80074e-06,1.50592e-06,0,-2.0317e-07,-1.69086e+09,-1.69116e+09,-1.69136e+09,-27153.6,0.027594,0.00257043,0,0.0277135,-32361,-58320.3,-0,66697,27153.6
step02_gravity_refstate-mantle.xmf,3,3.6934e-06,1.51611e-06,0,-2.39398e-09,-1.74525e+09,-1.74555e+09,-1.74575e+09,-319.956,0.0164149,8.88652e-19,0,0.0164149,-35446.9,-60000,-0,69688.5,319.956
step02_gravity_refstate-mantle.xmf,4,3.6823e-06,1.47637e-06,0,-1.46167e-07,-1.69027e+09,-1.69056e+09,-1.69076e+09,-19535.3,0.0200446,0.002548,0,0.0202059,-34390.6,-58301.3,-0,67688.7,19535.3
step02_gravity_refstate-mantle.xmf,5,3.5919e-06,1.49639e-06,0,4.29042e-09,-1.74528e+09,-1.74556e+09,-1.74576e+09,573.415,-5.25674e-19,1.00289e-18,-0,1.13231e-18,-40000,-60000,-0,72111,573.415
step02_gravity_refstate-mantle.xmf,6,3.6216e-06,1.50617e-06,0,2.93835e-09,-1.74527e+09,-1.74555e+09,-1.74576e+09,392.711,0.00835549,1.82738e-19,0,0.00835549,-37667,-60000,-0,70843.5,392.711
step02_gravity_refstate-mantle.xmf,7,3.54543e-06,1.45417e-06,0,-2.99877e-08,-1.69609e+09,-1.69637e+09,-1.69657e+09,-4007.85,0.00538493,0.00224475,0,0.00583407,-38479.3,-58480.3,-0,70004.3,4007.85
step02_gravity_refstate-mantle.xmf,8,3.57097e-06,1.4485e-06,0,-1.10574e-07,-1.6792e+09,-1.67949e+09,-1.67968e+09,-14778.2,0.0123151,0.00301944,0,0.0126799,-36507.5,-57958.7,-0,68498.2,14778.2
step02_gravity_refstate-mantle.xmf,9,3.50699e-06,1.43764e-06,0,1.46205e-09,-1.67369e+09,-1.67396e+09,-1.67415e+09,195.403,-5.84821e-19,0.00324906,-0,0.00324906,-40000,-57787.8,-0,70281.1,195.403
step02_gravity_refstate-mantle.xmf,10,4.06918e-06,1.63117e-06,0,8.14558e-09,-1.74516e+09,-1.74549e+09,-1.74571e+09,1088.66,0.0396015,-3.55027e-20,0,0.0396015,-29410.7,-60000,-0,66820.6,1088.66
step02_gravity_refstate-mantle.xmf,11,3.92001e-06,1.55273e-06,0,-2.53463e-07,-1.69062e+09,-1.69093e+09,-1.69114e+09,-33875.3,0.035197,0.00266129,0,0.0352974,-30382.9,-58313.9,-0,65754.3,33875.3
step02_gravity_refstate-mantle.xmf,12,3.41844e-06,1.45044e-06,0,-8.42055e-08,-1.63704e+09,-1.63731e+09,-1.6375e+09,-11254.1,0.00595381,0.00489643,0,0.00770863,-38251.5,-56655.3,-0,68359.4,11254.1
step02_gravity_refstate-mantle.xmf,13,4.09772e-06,1.62907e-06,0,-3.05927e-07,-1.69572e+09,-1.69605e+09,-1.69627e+09,-40887.1,0.0428427,0.00252047,0,0.0429168,-28500.3,-58472.9,-0,65048.9,40887.1
step02_gravity_refstate-mantle.xmf,14,3.68015e-06,1.55463e-06,0,-4.43964e-07,-1.63956e+09,-1.63984e+09,-1.64005e+09,-59335.9,0.0302416,0.00504902,0,0.0306602,-31362.4,-56735,-0,64826.4,59335.9
step02_gravity_refstate-mantle.xmf,15,3.58751e-06,1.5054e-06,0,-3.42643e-07,-1.63643e+09,-1.6367e+09,-1.63691e+09,-45794.3,0.0232622,0.00506729,0,0.0238077,-33267,-56637.6,-0,65684.9,45794.3
step02_gravity_refstate-mantle.xmf,16,3.49991e-06,1.48034e-06,0,-2.44397e-07,-1.63691e+09,-1.63718e+09,-1.63738e+09,-32663.7,0.017218,0.00496909,0,0.0179207,-34982.2,-56651.8,-0,66582.2,32663.7
step02_gravity_refstate-mantle.xmf,17,3.2816e-06,1.47727e-06,0,5.15127e-10,-1.60216e+09,-1.6024e+09,-1.6026e+09,68.8467,-5.75079e-19,0.00647072,-0,0.00647072,-40000,-55576.9,-0,68474.7,68.8467
step02_gravity_refstate-mantle.xmf,18,3.82181e-06,1.63361e-06,0,-5.79091e-07,-1.63462e+09,-1.63491e+09,-1.63513e+09,-77395.5,0.0374948,0.00551137,0,0.0378977,-29376.6,-56583.7,-0,63755,77395.5
step02_gravity_refstate-mantle.xmf,19,4.297e-06,1.73154e-06,0,-3.45068e-07,-1.69876e+09,-1.69911e+09,-1.69934e+09,-46118.3,0.050408,0.00250561,0,0.0504702,-26714.5,-58568.5,-0,64373.4,46118.3
step02_gravity_refstate-mantle.xmf,20,4.05882e-06,1.73349e-06,0,-6.36762e-07,-1.64863e+09,-1.64894e+09,-1.64917e+09,-85103.3,0.0458984,0.00509899,0,0.0461808,-27380.2,-57018.3,-0,63251.6,85103.3
step02_gravity_refstate-mantle.xmf,21,4.25875e-06,1.71219e-06,0,9.0473e-09,-1.74512e+09,-1.74546e+09,-1.74569e+09,1209.17,0.0471827,-3.66714e-20,0,0.0471827,-27590,-60000,-0,66039.4,1209.17
step02_gravity_refstate-mantle.xmf,22,3.33052e-06,1.49237e-06,0,-2.23027e-07,-1.60446e+09,-1.60471e+09,-1.6049e+09,-29807.6,0.0118178,0.00641707,0,0.0134477,-36417,-55648.4,-0,66505.2,29807.6
