Block Name,Point ID,cauchy_strain_0,cauchy_strain_1,cauchy_strain_2,cauchy_strain_3,cauchy_stress_0,cauchy_stress_1,cauchy_stress_2,cauchy_stress_3,displacement_0,displacement_1,displacement_2,displacement_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,stress_xy
step02_gravity_refstate-mantle.xmf,0,4.36877e-06,2.12018e-06,0,-3.08251e-09,-1.38294e+09,-1.38324e+09,-1.38353e+09,-411.977,-7.31813e-19,0.0172459,-0,0.0172459,-40000,-48814.3,-0,63109.7,411.977
step02_gravity_refstate-mantle.xmf,1,5.13298e-06,1.79305e-06,0,1.22604e-09,-1.45426e+09,-1.4547e+09,-1.45494e+09,163.86,-1.57399e-19,0.012927,-0,0.012927,-40000,-51021.4,-0,64831.9,163.86
step02_gravity_refstate-mantle.xmf,2,4.82193e-06,1.94327e-06,0,-1.83296e-07,-1.42447e+09,-1.42485e+09,-1.42511e+09,-24497.5,0.008425,0.0148453,0,0.0170693,-38251.1,-50099.5,-0,63032.6,24497.5
step02_gravity_refstate-mantle.xmf,3,5.49527e-06,1.66197e-06,0,-1.53397e-07,-1.49303e+09,-1.49354e+09,-1.49377e+09,-20501.5,0.00915753,0.0110033,0,0.0143155,-38331,-52221.3,-0,64779.1,20501.5
step02_gravity_refstate-mantle.xmf,4,5.77362e-06,1.53359e-06,0,8.22116e-10,-1.52588e+09,-1.52645e+09,-1.52666e+09,109.876,-1.61219e-19,0.00923839,-0,0.00923839,-40000,-53237.6,-0,66590.1,109.876
step02_gravity_refstate-mantle.xmf,5,3.99993e-06,2.29515e-06,0,-1.97291e-07,-1.35192e+09,-1.35214e+09,-1.35245e+09,-26367.9,0.00728209,0.0196225,0,0.0209301,-38181,-47853.9,-0,61219.1,26367.9
step02_gravity_refstate-mantle.xmf,6,4.46421e-06,2.14748e-06,0,-3.75572e-07,-1.39334e+09,-1.39365e+09,-1.39394e+09,-50195.2,0.0156227,0.0174573,0,0.023427,-36507.7,-49136.1,-0,61214.1,50195.2
step02_gravity_refstate-mantle.xmf,7,4.14761e-06,2.36695e-06,0,-5.59187e-07,-1.36942e+09,-1.36966e+09,-1.36997e+09,-74735.4,0.0218425,0.0203052,0,0.0298227,-34785,-48395.6,-0,59599.8,74735.4
step02_gravity_refstate-mantle.xmf,8,3.53806e-06,2.5517e-06,0,-4.09413e-07,-1.3164e+09,-1.31654e+09,-1.31688e+09,-54718.1,0.0135535,0.0232398,0,0.0269032,-36199.1,-46754.4,-0,59129.9,54718.1
step02_gravity_refstate-mantle.xmf,9,5.21577e-06,1.82938e-06,0,-3.26636e-07,-1.46369e+09,-1.46414e+09,-1.46439e+09,-43654.9,0.017434,0.01306,0,0.0217832,-36656,-51313.4,-0,63061.3,43654.9
step02_gravity_refstate-mantle.xmf,10,6.04256e-06,1.45298e-06,0,-1.19057e-07,-1.56244e+09,-1.56305e+09,-1.56325e+09,-15912,0.0100594,0.00765844,0,0.0126429,-38332.3,-54368.4,-0,66522.8,15912
step02_gravity_refstate-mantle.xmf,11,3.53151e-06,2.47836e-06,0,-4.14361e-09,-1.31176e+09,-1.3119e+09,-1.31223e+09,-553.794,-5.87213e-19,0.022311,-0,0.022311,-40000,-46610.6,-0,61421.1,553.794
step02_gravity_refstate-mantle.xmf,12,3.47223e-06,2.66659e-06,0,-5.85944e-07,-1.31595e+09,-1.31606e+09,-1.31642e+09,-78311.3,0.0197093,0.0248122,0,0.0316876,-34432.2,-46740.3,-0,58053.7,78311.3
step02_gravity_refstate-mantle.xmf,13,3.78778e-06,2.62438e-06,0,-7.16439e-07,-1.34517e+09,-1.34532e+09,-1.34567e+09,-95752.1,0.0264692,0.023869,0,0.0356419,-33180.4,-47644.8,-0,58060,95752.1
step02_gravity_refstate-mantle.xmf,14,4.89911e-06,2.04724e-06,0,-5.09719e-07,-1.43417e+09,-1.43455e+09,-1.43482e+09,-68124,0.0246859,0.0157344,0,0.029274,-34974,-50400,-0,61346,68124
step02_gravity_refstate-mantle.xmf,15,5.79505e-06,1.59755e-06,0,-2.67955e-07,-1.52847e+09,-1.52903e+09,-1.52925e+09,-35812.1,0.0189798,0.00960208,0,0.0212705,-36719.2,-53317.8,-0,64738.6,35812.1
step02_gravity_refstate-mantle.xmf,16,6.26039e-06,1.36237e-06,0,7.79106e-10,-1.59802e+09,-1.59868e+09,-1.59886e+09,104.128,-1.6325e-19,0.00600754,-0,0.00600754,-40000,-55468.9,-0,68387.1,104.128
step02_gravity_refstate-mantle.xmf,17,3.11552e-06,2.66852e-06,0,-1.85505e-07,-1.27923e+09,-1.27929e+09,-1.27965e+09,-24792.8,0.0057707,0.0252136,0,0.0258656,-38155,-45603.7,-0,59460.1,24792.8
step02_gravity_refstate-mantle.xmf,18,3.00901e-06,2.9439e-06,0,-6.88817e-07,-1.28566e+09,-1.28567e+09,-1.28607e+09,-92060.3,0.0215862,0.0290771,0,0.0362139,-33123.7,-45802.3,-0,56524.6,92060.3
step02_gravity_refstate-mantle.xmf,19,2.8416e-06,2.89447e-06,0,-4.987e-07,-1.26598e+09,-1.26597e+09,-1.26635e+09,-66651.2,0.0150048,0.0286502,0,0.0323416,-34872.1,-45192.9,-0,57083,66651.2
step02_gravity_refstate-mantle.xmf,20,3.32464e-06,2.94982e-06,0,-8.50362e-07,-1.31717e+09,-1.31722e+09,-1.31762e+09,-113651,0.0296547,0.0287614,0,0.0413112,-31539.8,-46777.8,-0,56417.4,113651
step02_gravity_refstate-mantle.xmf,21,2.75482e-06,3.35819e-06,0,-9.50647e-07,-1.28761e+09,-1.28753e+09,-1.28798e+09,-127054,0.0316705,0.0355516,0,0.0476124,-29702.2,-45861.9,-0,54640,127054
step02_gravity_refstate-mantle.xmf,22,2.46365e-06,3.28095e-06,0,-7.65635e-07,-1.25735e+09,-1.25724e+09,-1.25768e+09,-102327,0.0232866,0.0346293,0,0.0417307,-31488,-44924.9,-0,54861.1,102327
step02_gravity_refstate-mantle.xmf,23,4.5632e-06,2.30322e-06,0,-6.85174e-07,-1.40696e+09,-1.40727e+09,-1.40757e+09,-91573.5,0.0307463,0.0189846,0,0.0361351,-33327.9,-49558.1,-0,59722.3,91573.5
step02_gravity_refstate-mantle.xmf,24,4.15872e-06,2.61627e-06,0,-8.47123e-07,-1.37823e+09,-1.37844e+09,-1.37879e+09,-113218,0.0354742,0.0232767,0,0.0424291,-31674.4,-48668.7,-0,58068.1,113218
step02_gravity_refstate-mantle.xmf,25,5.53986e-06,1.78611e-06,0,-4.33674e-07,-1.49838e+09,-1.49888e+09,-1.49912e+09,-57960.5,0.0271912,0.0118557,0,0.0296634,-35087.1,-52387.2,-0,63051.8,57960.5
step02_gravity_refstate-mantle.xmf,26,6.43707e-06,1.335e-06,0,-7.44972e-08,-1.63265e+09,-1.63333e+09,-1.63351e+09,-9956.55,0.0107982,0.00463192,0,0.0117497,-38318.4,-56539.5,-0,68300.9,9956.55
step02_gravity_refstate-mantle.xmf,27,6.26381e-06,1.43902e-06,0,-1.97534e-07,-1.5973e+09,-1.59795e+09,-1.59814e+09,-26400.4,0.0208923,0.00638588,0,0.0218464,-36657.2,-55446.8,-0,66468.8,26400.4
step02_gravity_refstate-mantle.xmf,28,6.56196e-06,1.30072e-06,0,7.15941e-10,-1.67087e+09,-1.67158e+09,-1.67175e+09,95.6855,-1.49831e-19,0.0030156,-0,0.0030156,-40000,-57721,-0,70226.2,95.6855
step02_gravity_refstate-mantle.xmf,29,2.81711e-06,2.83123e-06,0,-3.34649e-07,-1.25897e+09,-1.25897e+09,-1.25935e+09,-44725.9,0.00998782,0.0278053,0,0.0295448,-36513.2,-44976.3,-0,57931.7,44725.9
step02_gravity_refstate-mantle.xmf,30,2.66597e-06,2.83572e-06,0,-5.72614e-09,-1.24058e+09,-1.24056e+09,-1.24093e+09,-765.299,-4.75987e-19,0.0281665,-0,0.0281665,-40000,-44407.1,-0,59766.1,765.299
step02_gravity_refstate-mantle.xmf,31,1.99875e-06,3.58873e-06,0,-7.96585e-07,-1.23564e+09,-1.23543e+09,-1.23591e+09,-106464,0.0238379,0.0401685,0,0.0467093,-30084.6,-44252,-0,53510,106464
step02_gravity_refstate-mantle.xmf,32,1.88099e-06,3.7973e-06,0,-8.87045e-07,-1.23943e+09,-1.23918e+09,-1.23968e+09,-118554,0.0271978,0.0439169,0,0.0516567,-28631.9,-44368.9,-0,52805.2,118554
