Block Name,Point ID,cauchy_strain_0,cauchy_strain_1,cauchy_strain_2,cauchy_strain_3,cauchy_stress_0,cauchy_stress_1,cauchy_stress_2,cauchy_stress_3,displacement_0,displacement_1,displacement_2,displacement_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,stress_xy
step02_gravity_refstate-mantle.xmf,0,2.19071e-05,-2.97897e-05,0,2.08782e-05,-1.09645e+09,-1.10335e+09,-1.09937e+09,2.79038e+06,-0.0416048,0.486192,-0,0.487969,-1000,-40000,-0,40012.5,2.79038e+06
step02_gravity_refstate-mantle.xmf,1,1.30561e-05,-1.6381e-05,0,1.76962e-05,-1.09725e+09,-1.10118e+09,-1.099e+09,2.3651e+06,-0.0514745,0.460575,-0,0.463443,-1513.8,-40000,-0,40028.6,2.3651e+06
step02_gravity_refstate-mantle.xmf,2,1.12727e-05,-1.64609e-05,0,2.13929e-05,-1.10935e+09,-1.11306e+09,-1.11086e+09,2.85916e+06,-0.0436703,0.474833,-0,0.476837,-1365.48,-40361.7,-0,40384.8,2.85916e+06
step02_gravity_refstate-mantle.xmf,3,8.02639e-06,-1.10525e-05,0,2.00225e-05,-1.11153e+09,-1.11408e+09,-1.1126e+09,2.67601e+06,-0.0468484,0.451383,-0,0.453807,-1783.07,-40421,-0,40460.3,2.67601e+06
step02_gravity_refstate-mantle.xmf,4,1.66163e-05,-2.48364e-05,0,2.53347e-05,-1.11338e+09,-1.11892e+09,-1.1156e+09,3.38598e+06,-0.0365255,0.499927,-0,0.50126,-1000,-40500.4,-0,40512.7,3.38598e+06
step02_gravity_refstate-mantle.xmf,5,7.27057e-06,-1.01706e-05,0,1.56602e-05,-1.09799e+09,-1.10032e+09,-1.09896e+09,2.09299e+06,-0.0568669,0.43215,-0,0.435876,-2053.41,-40000,-0,40052.7,2.09299e+06
step02_gravity_refstate-mantle.xmf,6,9.96116e-06,-1.37377e-05,0,2.35091e-05,-1.12161e+09,-1.12478e+09,-1.12295e+09,3.142e+06,-0.0384573,0.476319,-0,0.477869,-1434.25,-40738.7,-0,40763.9,3.142e+06
step02_gravity_refstate-mantle.xmf,7,2.92466e-06,-5.73304e-06,0,1.39451e-05,-1.09856e+09,-1.09972e+09,-1.09895e+09,1.86377e+06,-0.05965,0.403859,-0,0.408241,-2618.77,-40000,-0,40085.6,1.86377e+06
step02_gravity_refstate-mantle.xmf,8,4.48567e-06,-6.56306e-06,0,1.75064e-05,-1.11303e+09,-1.1145e+09,-1.11363e+09,2.33973e+06,-0.0495212,0.42244,-0,0.425333,-2310.14,-40455.1,-0,40521,2.33973e+06
step02_gravity_refstate-mantle.xmf,9,5.32099e-06,-6.8571e-06,0,2.13792e-05,-1.12842e+09,-1.13005e+09,-1.12913e+09,2.85733e+06,-0.039404,0.443182,-0,0.44493,-2001.29,-40935.4,-0,40984.3,2.85733e+06
